Latitude,Longitude
60.706792,-136.933594
61.830876,-143.247112
62.568678,-148.789510
61.455177,-156.619247
64.297653,-158.202789
65.271072,-135.329401
65.101055,-123.148281
60.534319,-115.054620
51.769540,-107.664756
40.096983,-100.098943
29.900187,-100.450842
24.429646,-102.034384
22.819226,-104.497672
28.364819,-108.544502
31.532897,-111.755406
34.190222,-115.890211
35.115977,-119.119960
36.364351,-120.923103
37.690613,-121.612147
39.612301,-122.645848
43.433476,-123.475709
46.871928,-123.211785
46.884190,-122.567034
47.505258,-121.755619
48.328466,-121.428590
50.663826,-121.748453
51.737660,-122.892122
54.172483,-126.059207
57.572202,-127.906673
58.639169,-129.548137
59.853437,-133.368819
