Latitude,Longitude
18.379550,-100.134595
25.069678,-106.114305
30.053881,-111.390519
33.928776,-115.259743
35.417706,-119.244763
41.138951,-121.882870
45.914473,-122.322555
48.598045,-120.827627
51.639840,-123.026050
54.896828,-127.422895
58.759085,-131.807893
61.304012,-138.139350
62.544754,-147.636535
61.388302,-155.902604
57.459135,-168.565518
57.647753,-175.952218
56.598210,-190.725618
55.618071,-195.474211
34.654900,-193.363725
7.257856,-191.253239
5.860846,-119.320853
12.794661,-102.085219
